LanguageHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith,MiscTechHaveWorkedWith,DevType,cluster
Go;HTML/CSS;Java;JavaScript;PowerShell;SQL,Elm;Node.js,Ant;Docker;Gradle;Kubernetes;Make;Maven (build tool);npm,,Back-End Developer,3
Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Spring Boot,Docker;Maven (build tool);Unity 3D;Visual Studio Solution,.NET Framework (1.0 - 4.8);OpenGL;Spring Framework,Full-Stack Developer,5
Kotlin;Swift,,Dagger;Gradle,Ktor;SwiftUI,Engineering Manager,6
C;C++;Python,,Google Test;Make,OpenGL,Research & Development Role,6
Dart;HTML/CSS;Java;JavaScript;SQL;TypeScript,Angular;Django;Express;Node.js;Spring Boot,Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;pnpm;Webpack;Yarn,Flutter;Quarkus;React Native;Spring Framework,Product Manager,5
Assembly;Bash/Shell (all shells);C;C#;C++;Python;Rust,ASP.NET;ASP.NET CORE;FastAPI,Docker;Kubernetes;Make;NuGet;Pip;Terraform,.NET (5+) ;.NET Framework (1.0 - 4.8);GTK;Opencv;Roslyn,Research & Development Role,0
Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;SQL,Express;Node.js;Spring Boot,Docker;Gradle;Kubernetes;Maven (build tool);npm;Yarn,Flutter;Spring Framework,Full-Stack Developer,5
HTML/CSS;Java;JavaScript;SQL,React;Vue.js,Ansible;Maven (build tool);npm;Webpack,Apache Kafka;Apache Spark,"Senior Executive (C-Suite, Vp, Etc.)",6
Python,Node.js;React,Make;npm,,Front-End Developer,2
C++;Java;JavaScript;Python;TypeScript;VBA,,,,Back-End Developer,3
C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),ASP.NET;ASP.NET CORE;Express;React,Ant;Chocolatey;Docker;Kubernetes;npm;NuGet;Vite;Webpack,.NET (5+) ,Full-Stack Developer,0
R;SQL;VBA,,,,Data Scientist Or Machine Learning Specialist,6
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;TypeScript,jQuery;Laravel,Chocolatey;Composer;Docker;Make;npm;Vite,,Full-Stack Developer,3
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Htmx;Node.js;Svelte,Ansible;APT;npm;Pip;pnpm;Terraform;Vite,Pandas,Devops Specialist,6
JavaScript;PHP;Python;Rust,Django;FastAPI;Flask;React;Symfony,Composer;Docker;Make;npm;Pacman;Podman;Vite;Webpack,Ruff,Full-Stack Developer,3
Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Python;SQL;VBA;Visual Basic (.Net),Angular;Express;Flask;Node.js,Docker;npm;Pip,Apache Kafka;Apache Spark,Data Or Business Analyst,6
Bash/Shell (all shells);JavaScript;Python;Rust,FastAPI;Flask,Ansible;Docker;Kubernetes;Make;Terraform;Yarn,Apache Kafka,Devops Specialist,6
JavaScript;PHP;SQL,Vue.js;WordPress,Composer;Docker;npm;Terraform;Visual Studio Solution;Yarn,,Back-End Developer,3
C;C++;PowerShell;Python;SQL,,Pip,NumPy;Opencv;Torch/PyTorch,Ai Developer,3
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,ASP.NET CORE;Node.js,Chocolatey;MSBuild;NuGet,.NET (5+) ,Full-Stack Developer,3
C#;Go;JavaScript;PowerShell;TypeScript,Next.js;React,Kubernetes;npm,Flutter,Research & Development Role,6
C#;C++;F#;JavaScript;PowerShell;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;jQuery;Node.js,Docker;npm;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Desktop Or Enterprise Applications Developer,0
HTML/CSS;JavaScript,,,,Game Or Graphics Developer,3
C#;HTML/CSS;JavaScript;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js,APT;Chocolatey;Docker;Homebrew;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Roslyn,Back-End Developer,0
C#;F#,,NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
C;C++;Java;Kotlin;MATLAB;SQL,Spring Boot,Dagger;Gradle;Homebrew;Pip,Spring Framework,Mobile Developer,5
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,AngularJS;ASP.NET;Astro;Gatsby;jQuery;Node.js;React,Docker;MSBuild;npm;NuGet;Visual Studio Solution;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Engineering Manager,0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Django;Flask;jQuery;Node.js,Docker,,Full-Stack Developer,3
Bash/Shell (all shells);Java;SQL,Spring Boot,Ant;Docker;Maven (build tool),RabbitMQ;Spring Framework,Back-End Developer,5
Bash/Shell (all shells);Go;HTML/CSS;Rust;TypeScript,Angular;Astro;Express;Next.js;Node.js;React;Svelte;Vue.js,Ansible;APT;Docker;Kubernetes;npm;Terraform;Vite,RabbitMQ,Full-Stack Developer,3
C#;HTML/CSS,ASP.NET CORE;Blazor,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ,Full-Stack Developer,0
Assembly;Bash/Shell (all shells);C;C#;C++;Lua;Python;Rust,,Docker;Unreal Engine;Visual Studio Solution,.NET (5+) ;OpenGL,Game Or Graphics Developer,3
HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Angular;AngularJS;jQuery;Next.js;Node.js;React;Vue.js,npm;Vite;Webpack;Yarn,,Full-Stack Developer,3
Bash/Shell (all shells);C;C++;HTML/CSS;PowerShell;Python;SQL,,Ansible;Docker,Opencv;Qt,Ai Developer,3
Python;R,,,Pandas;Scikit-Learn;TensorFlow;Tidyverse,Scientist,6
C;C++;Groovy;Java;Julia;MATLAB;Python;SQL,,Docker;Gradle;Homebrew;Make;Maven (build tool);npm,Ktor,Mobile Developer,4
Dart;JavaScript,Angular;Next.js;React,,,Full-Stack Developer,3
Bash/Shell (all shells);C;C++;Dart;Go;HTML/CSS;Java;JavaScript;SQL;TypeScript,Angular;Next.js;Node.js;React,Docker;Make;Ninja;npm;Webpack,Cordova;Flutter;Ionic;React Native,Full-Stack Developer,3
Delphi,,MSBuild,,Desktop Or Enterprise Applications Developer,1
C++;Java;Python,,,NumPy;Qt;Spring Framework,Back-End Developer,3
C#;HTML/CSS;JavaScript;SQL;TypeScript,Angular;ASP.NET CORE,Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution,.NET (5+) ,Full-Stack Developer,0
HTML/CSS;JavaScript;Ruby;SQL,Next.js;Ruby on Rails,Docker,,Full-Stack Developer,3
C;C++;Dart;HTML/CSS;Java;PHP;Python;SQL,,,Flutter;Pandas,Mobile Developer,4
HTML/CSS;JavaScript;PHP,Node.js,,,Designer,3
JavaScript;PHP;SQL,Laravel;Vue.js,Composer;npm;Webpack,,Back-End Developer,3
Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Express;jQuery;Laravel;Node.js;React;WordPress,Composer;Maven (build tool);npm;Pip;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Java;JavaScript;SQL,,Ant;Docker;Gradle;Kubernetes;Maven (build tool);npm;Terraform,Apache Kafka;JAX;React Native;Spring Framework,Full-Stack Developer,3
C;C++;Python;Rust,,Docker;Make;NuGet;Pip,Qt,Embedded Applications Or Devices Developer,1
C#;Ruby,Angular,Ansible;Docker;Gradle;NuGet,.NET (5+) ;OpenGL,Research & Development Role,6
C#;Java;JavaScript;Python;SQL,Angular;AngularJS;React,Docker;Gradle;Maven (build tool);MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C++;Go;Java;JavaScript;Kotlin;Objective-C;Python;SQL;Swift,Vue.js,Gradle;Homebrew;npm;Unity 3D,Opencv;OpenGL;Qt,Mobile Developer,4
Bash/Shell (all shells);C;C++;MATLAB;Python;Rust;TypeScript,,Ansible;APT;Composer;Docker;Google Test;Make;npm;Pacman;Pip;Yarn,NumPy;Opencv;Pandas;Qt,Embedded Applications Or Devices Developer,1
Bash/Shell (all shells);Go;Java;JavaScript;Python;TypeScript,Angular,Docker;Kubernetes;Maven (build tool),,Site Reliability Engineer,6
Assembly;C;C#;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;SQL;TypeScript;Visual Basic (.Net),Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;NestJS;Node.js;React;Vue.js,Docker;Kubernetes;MSBuild;npm;NuGet;Terraform;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;RabbitMQ,Full-Stack Developer,0
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PHP;R;Rust;SQL;TypeScript,jQuery;Laravel;Next.js;Node.js;React;Svelte;Vue.js,Maven (build tool);npm;Vite;Webpack;Yarn,Flutter,Back-End Developer,3
Bash/Shell (all shells);C#;C++;Java;JavaScript;PHP;Python;SQL;TypeScript,Angular;jQuery;Laravel;Node.js;React;Symfony,Docker;Gradle;Maven (build tool);npm,.NET (5+) ;OpenGL;Qt,Full-Stack Developer,3
C#;C++;Go;Lua;Python,ASP.NET CORE,Docker;Make;Ninja;NuGet;Pacman,.NET (5+) ;GTK,Back-End Developer,3
,React,Terraform,.NET (5+) ;NumPy;Opencv;Pandas;Torch/PyTorch,Engineering Manager,6
JavaScript;Python;SQL;TypeScript,Angular;Flask;Vue.js,Docker;Vite,Cordova;Ionic;RabbitMQ,Full-Stack Developer,3
HTML/CSS;JavaScript;TypeScript,Next.js;Node.js;React,Docker;Gradle;npm;Vite;Yarn,Cordova;React Native,Full-Stack Developer,3
HTML/CSS;JavaScript;Ruby;SQL,Node.js;React;Ruby on Rails,Docker;Make;npm;Terraform,,Full-Stack Developer,3
Bash/Shell (all shells);Elixir;Go;Groovy;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,Phoenix;React;Spring Boot,APT;Docker;Gradle;Homebrew;Kubernetes;Make;npm;Yarn,Apache Kafka;Spring Framework,Back-End Developer,5
C;C#;Python,,Make;Pip;Podman,Torch/PyTorch,Qa Or Test Developer,3
C#;Go;JavaScript;PHP;SQL,,,,Back-End Developer,3
HTML/CSS;JavaScript;Lisp;Python;SQL,Express;Flask;React;Remix,Docker;npm;Pip;Vite,Electron;Tauri,Front-End Developer,2
C#;C++;HTML/CSS;JavaScript;Python;VBA;Visual Basic (.Net),AngularJS,Make;MSBuild;Ninja,.NET Framework (1.0 - 4.8);OpenGL,Site Reliability Engineer,0
Go;Rust;SQL;TypeScript,,Ansible;Docker;npm;Webpack,,Back-End Developer,3
Groovy;Java;JavaScript;MATLAB;Python,Angular;React,Ansible;Docker;Kubernetes;Make;Maven (build tool);npm;Pip;Terraform,Apache Kafka;NumPy;Quarkus;RabbitMQ;TensorFlow,Devops Specialist,6
JavaScript;SQL;TypeScript,React,npm;Webpack;Yarn,,Front-End Developer,2
C#;C++;Java;Lua;PowerShell;Python;SQL,Angular;AngularJS;ASP.NET;ASP.NET CORE;Spring Boot,Ansible;Docker;Kubernetes;Make;Terraform,.NET Framework (1.0 - 4.8),Back-End Developer,0
JavaScript;Python;SQL;TypeScript,Fastify;Flask;Next.js;Node.js;React,npm;Vite;Webpack;Yarn,,Front-End Developer,2
C#;JavaScript;PowerShell;SQL;TypeScript,AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;React,npm;NuGet;Visual Studio Solution;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Ionic;RabbitMQ;Xamarin,Full-Stack Developer,0
Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Scala,ASP.NET;Express;Node.js;Spring Boot,APT;Chocolatey;Docker;Gradle;Kubernetes;Make;Maven (build tool);MSBuild;npm;NuGet;Pip;Unity 3D;Visual Studio Solution,.NET (5+) ;Flutter;NumPy;Opencv;OpenGL;Pandas;Scikit-Learn,Cloud Infrastructure Engineer,6
HTML/CSS;Java;JavaScript;Kotlin;TypeScript,Angular;Next.js;React,Docker;Gradle;Kubernetes;npm;Webpack;Yarn,React Native,Front-End Developer,2
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL,ASP.NET;ASP.NET CORE;Spring Boot,Docker;MSBuild;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;RabbitMQ;Spring Framework,Full-Stack Developer,0
C#;HTML/CSS;JavaScript;PHP;Python;SQL,Django,,,Back-End Developer,3
HTML/CSS;Java;JavaScript,React;Spring Boot,Docker;Gradle;npm;Vite,Spring Framework,Full-Stack Developer,5
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;TypeScript,ASP.NET;Django;Express;FastAPI;NestJS;Next.js;Node.js;React;Spring Boot;Strapi,Docker;Nix;npm;Pip;Unity 3D;Vite;Webpack;Yarn,Apache Kafka;Electron;Hugging Face Transformers,Full-Stack Developer,3
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Express;FastAPI;Fastify;Next.js;Node.js;React,Docker;Homebrew;Kubernetes;npm;pnpm;Terraform;Vite;Webpack,,Front-End Developer,2
Go;JavaScript,React,Docker;Pulumi,,Devops Specialist,6
Groovy;Java;Kotlin;PowerShell,,Gradle,Ktor,Full-Stack Developer,3
Go;Rust,,Docker;Homebrew;Kubernetes;Make;Pacman;Terraform,Apache Kafka,Back-End Developer,3
Bash/Shell (all shells);C;C++;Cobol;Delphi;Go;Java;JavaScript;Lua;Perl;PHP;Python;SQL,FastAPI;Symfony,APT;Composer;Docker;Homebrew;Make;Pip;Terraform;Yarn,Pandas;Qt,Developer Experience,3
C;C++;Objective-C;PHP;Python;Ruby;Swift;TypeScript,CodeIgniter;Django,Composer;Docker;Homebrew;Pip;Yarn,SwiftUI,Full-Stack Developer,3
Go;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Express;Laravel;NestJS;Node.js;Vue.js,Composer;Docker;npm;Pip;Vite;Yarn,Apache Kafka;Cordova;Electron;Pandas;Scikit-Learn,Full-Stack Developer,3
Bash/Shell (all shells),Spring Boot,Ansible;Ant;Docker;Kubernetes;Maven (build tool);Puppet,RabbitMQ,Devops Specialist,5
JavaScript,jQuery;React,Vite,,Front-End Developer,2
HTML/CSS;JavaScript;PHP,WordPress,,,Project Manager,6
Dart;JavaScript;Python,Express;Vue.js;WordPress,,Flutter,Full-Stack Developer,3
C++,FastAPI;Flask;React;Svelte,,CUDA;DirectX,Research & Development Role,6
Java;Python,Flask;Spring Boot,Docker;Pip,NumPy;Pandas;TensorFlow;Torch/PyTorch,Data Scientist Or Machine Learning Specialist,6
C#;HTML/CSS;JavaScript;PHP;Python;SQL,Angular;ASP.NET;ASP.NET CORE;Django;React;WordPress,Docker;Kubernetes;MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn,Full-Stack Developer,0
C;Go;Ruby,,APT;Docker;Homebrew;Kubernetes;Make;Pip;Podman;Terraform,,Back-End Developer,3
Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Objective-C;PHP;Ruby;SQL;Zig,Ruby on Rails;Vue.js,Google Test;Ninja;Pacman,DirectX;GTK;OpenGL;Qt,Full-Stack Developer,3
HTML/CSS;JavaScript;Python;SQL;TypeScript,Django;Express;Next.js;Node.js;React,Docker;npm,RabbitMQ,Full-Stack Developer,3
Bash/Shell (all shells);Go;Groovy;Java,Angular;Node.js,Ansible;Docker;Kubernetes;Maven (build tool);Pacman;Terraform,,Devops Specialist,6
Assembly;Bash/Shell (all shells);C;C++,,Make,,Security Professional,3
Bash/Shell (all shells);Java;JavaScript,,,,Devops Specialist,6
Bash/Shell (all shells);Objective-C;Perl;Swift,Angular;AngularJS;jQuery;React;Ruby on Rails;Spring Boot;WordPress,APT;Docker;Homebrew;Make;npm;Pip,SwiftUI,Mobile Developer,4
Bash/Shell (all shells);C;C++;Java;Objective-C;Python,,Docker;Kubernetes;Make;Podman,,Desktop Or Enterprise Applications Developer,1
Go;JavaScript;Lua;PHP;SQL,Symfony,Composer;Docker;Yarn,Apache Kafka;RabbitMQ,Back-End Developer,3
HTML/CSS;Java;JavaScript;Python;SQL,Angular;jQuery;Node.js;Spring Boot,Docker;Homebrew;Maven (build tool);npm,RabbitMQ;Spring Framework,Back-End Developer,5
Bash/Shell (all shells);C++;JavaScript;Python;SQL,,,CUDA;Torch/PyTorch,Ai Developer,3
HTML/CSS;JavaScript;SQL;TypeScript,NestJS;Next.js;Node.js;React,npm;Vite;Webpack;Yarn,,"Senior Executive (C-Suite, Vp, Etc.)",6
Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,Astro;NestJS;Next.js;React,Gradle;Kubernetes;npm;Pulumi;Terraform;Webpack;Yarn,,Engineering Manager,6
C;C++,,Pacman,,Qa Or Test Developer,3
HTML/CSS;JavaScript;PHP;SQL,Express;Node.js;WordPress,npm,,Full-Stack Developer,3
Go;JavaScript;Python;TypeScript,Django;NestJS,Docker;Homebrew;Kubernetes;npm;Pip;pnpm,,Back-End Developer,3
HTML/CSS;Java;TypeScript,Angular,,,Full-Stack Developer,3
Java;JavaScript;Rust;Scala;TypeScript,jQuery;Node.js;Play Framework;React;Spring Boot,Docker;Maven (build tool);npm;Pacman;Webpack,Apache Kafka,Full-Stack Developer,5
Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;Lua;Nim;Python;Rust;TypeScript,Express;NestJS;Node.js;Nuxt.js;React;Vue.js,Docker;npm;Pip;pnpm;Vite,Cordova;Flutter;Ionic;RabbitMQ;React Native;Ruff,Full-Stack Developer,3
JavaScript;Python;SQL,,APT;Docker;Pacman;Yarn,Ruff,Engineering Manager,6
HTML/CSS;JavaScript;SQL;TypeScript,Express;Node.js;React,npm,Capacitor;Ionic,Full-Stack Developer,3
Go;HTML/CSS;JavaScript;TypeScript,Next.js;React,Docker,,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;SQL;TypeScript,Angular;jQuery;Svelte,Composer;npm;Vite,,Full-Stack Developer,3
Elixir;HTML/CSS;JavaScript;PHP,Angular;Express;Laravel;Node.js;React;Svelte;WordPress,Docker;Make;npm;Vite,,Full-Stack Developer,3
Apex;Java;JavaScript;SQL,,Ant;Maven (build tool),,Back-End Developer,5
Bash/Shell (all shells);C#;Java;Python;SQL,ASP.NET;ASP.NET CORE;Flask;React,Chocolatey;Docker;Kubernetes;MSBuild;NuGet;Terraform;Yarn,.NET (5+) ;Apache Kafka;NumPy;Pandas;RabbitMQ,Devops Specialist,6
C++;HTML/CSS;JavaScript;TypeScript,Node.js;React,Bun;npm;Vite;Yarn,SwiftUI,Front-End Developer,2
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Rust;SQL;TypeScript,ASP.NET CORE;Node.js;React,npm,.NET (5+) ,Full-Stack Developer,3
C++;Java;MATLAB;Python,Django;Flask;Spring Boot,Make,Qt,Embedded Applications Or Devices Developer,1
C#;Delphi;Go;SQL,ASP.NET,Docker;MSBuild;NuGet,.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,1
C;C++,,Docker;Google Test;Homebrew;Make;Ninja,,Embedded Applications Or Devices Developer,1
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Node.js;Svelte,Bun;Chocolatey;Docker;npm;Vite,,Full-Stack Developer,3
HTML/CSS;JavaScript;Python;TypeScript,AngularJS;Express;Flask;Node.js;React,Docker;npm;pnpm;Vite;Webpack;Yarn,,Full-Stack Developer,3
C;C++;Python;Rust,,Google Test;Make,,Embedded Applications Or Devices Developer,1
HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Angular;AngularJS;Django;Flask;jQuery;NestJS;Node.js;React;WordPress,Composer;Docker;npm;Pip;Yarn,Opencv;OpenGL;Pandas;Tidyverse;Torch/PyTorch,Full-Stack Developer,3
Bash/Shell (all shells);C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;Perl;PowerShell;Python;Ruby;Rust;SQL;TypeScript,React;Ruby on Rails;Spring Boot,Ansible;Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);Ninja;Pacman;Pip;pnpm;Podman;Pulumi;Terraform;Yarn,Apache Kafka;Qt;Spring Framework,Full-Stack Developer,5
Dart,,,Flutter,Front-End Developer,2
SQL;VBA,,,,Data Or Business Analyst,6
C#;Java;Python;Scala;SQL,Play Framework,Docker;Kubernetes;npm,.NET (5+) ;NumPy;Pandas;RabbitMQ;Scikit-Learn;Torch/PyTorch,Data Scientist Or Machine Learning Specialist,6
Java;Lua;Python;Rust;SQL,,Docker,,Back-End Developer,3
C#;Java;JavaScript;Python;SQL,Spring Boot,npm,RabbitMQ;React Native;Spring Framework,Back-End Developer,5
Java;SQL,Spring Boot,,,Back-End Developer,5
Bash/Shell (all shells);Go;Python;SQL,,Terraform,,Cloud Infrastructure Engineer,6
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Laravel;Nuxt.js;Vue.js,Composer;Docker;Homebrew;npm;Pip;Terraform,,Engineering Manager,6
JavaScript;Solidity;TypeScript,Angular;AngularJS;ASP.NET;ASP.NET CORE;Express;Gatsby;NestJS;Next.js;Node.js;React;Spring Boot,Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Pandas;RabbitMQ;React Native,Front-End Developer,0
C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),ASP.NET CORE;Blazor;Node.js,Docker;MSBuild;Ninja;npm;NuGet;Pip;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;DirectX,Full-Stack Developer,0
Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Objective-C;Python;Swift,Next.js;Node.js;React,Docker;Gradle;Homebrew;npm,,Mobile Developer,4
Bash/Shell (all shells);Groovy;Java;JavaScript;Python;SQL;TypeScript,Spring Boot,Docker;Maven (build tool),Spring Framework,Back-End Developer,5
C;C#;C++;Dart;HTML/CSS;JavaScript;Lua;MATLAB;PowerShell;Python;TypeScript,Node.js;React,APT;Docker;Homebrew;Make;npm;Pip,.NET (5+) ;Electron;Flutter;NumPy;Opencv;Pandas;Qt;React Native;Scikit-Learn,Embedded Applications Or Devices Developer,1
C;C++;HTML/CSS;Java;JavaScript;Perl;PHP;Python;R;Ruby;SQL,Flask;jQuery;Ruby on Rails,Docker;Homebrew;npm;Pip;Yarn,,Full-Stack Developer,3
C++;HTML/CSS;JavaScript;PHP,Node.js,Docker;npm;Webpack;Yarn,Cordova;Electron,Full-Stack Developer,3
Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;PowerShell;Python;Ruby;SQL;Swift;TypeScript;VBA;Visual Basic (.Net),Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;jQuery;Node.js;React;Remix;Ruby on Rails;Vue.js;WordPress,MSBuild;npm;NuGet;Visual Studio Solution;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn;SwiftUI,"Senior Executive (C-Suite, Vp, Etc.)",0
Bash/Shell (all shells);C++,,Docker;Make;Pacman,,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL,FastAPI;Flask;Svelte,Docker;Homebrew;Kubernetes;Nix;npm;Pip;Terraform,Pandas;RabbitMQ,Full-Stack Developer,3
Bash/Shell (all shells);C#;JavaScript;Scala,ASP.NET;ASP.NET CORE;Next.js,Docker;Kubernetes,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
HTML/CSS;JavaScript;SQL,,,,Full-Stack Developer,3
C;C#;C++;Dart;Fortran;Go;HTML/CSS;Java;JavaScript;Kotlin;Perl;PHP;PowerShell;Python;Ruby;Rust;SQL;Swift;Visual Basic (.Net),Angular;AngularJS;ASP.NET;ASP.NET CORE;Laravel;Next.js;Node.js;React,Ant;Composer;Gradle;Make;Maven (build tool);MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Flutter;MFC;Roslyn;Xamarin,Full-Stack Developer,0
HTML/CSS;JavaScript;PHP;TypeScript,Astro;Laravel;NestJS,Docker;Homebrew;npm;Terraform;Yarn,,Full-Stack Developer,3
HTML/CSS;Java;JavaScript;TypeScript,Angular;Node.js;Spring Boot,Docker;Maven (build tool);npm,Apache Kafka,Full-Stack Developer,5
Objective-C;Python;Swift,,Homebrew,,Desktop Or Enterprise Applications Developer,1
Go;HTML/CSS;JavaScript;TypeScript,Angular;Node.js,npm,Capacitor;Ionic,Front-End Developer,2
C#;Kotlin;Swift;TypeScript,ASP.NET CORE,Terraform,.NET (5+) ,Full-Stack Developer,3
HTML/CSS;JavaScript;TypeScript,Angular;Astro;Next.js;React,npm,,Front-End Developer,2
HTML/CSS;Java;JavaScript;SQL;TypeScript,Angular;Play Framework;Spring Boot,Ansible;Ant;Docker;Kubernetes;Maven (build tool);npm,Spring Framework,Desktop Or Enterprise Applications Developer,5
C#;JavaScript;Ruby,ASP.NET CORE;jQuery;Node.js,npm;pnpm;Yarn,.NET (5+) ,Full-Stack Developer,3
C++;Delphi;SQL,ASP.NET CORE,,.NET (5+) ;.NET MAUI,Full-Stack Developer,0
JavaScript;Julia;Python;SQL;TypeScript,Next.js;React;Vue.js,Ansible;Make;Vite,JAX;NumPy;Pandas;Ruff;Scikit-Learn;Torch/PyTorch,Data Scientist Or Machine Learning Specialist,6
HTML/CSS;JavaScript;Ruby,,Nix,,Data Or Business Analyst,6
Bash/Shell (all shells);HTML/CSS;Perl;SQL;TypeScript,Angular;jQuery,Docker;npm,,Full-Stack Developer,3
Groovy;Java;Kotlin;SQL,,Gradle,Apache Kafka;Spring Framework,Back-End Developer,3
Assembly;Swift;VBA,jQuery;React,,Qt;Spring Framework,Embedded Applications Or Devices Developer,1
C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,ASP.NET CORE;React;Vue.js,Docker;Homebrew;MSBuild;NuGet;Pip;pnpm;Podman;Visual Studio Solution;Vite;Webpack;Yarn,,Full-Stack Developer,3
Python,Django,Ansible;Docker;Kubernetes;Pip,Hugging Face Transformers;RabbitMQ,Back-End Developer,3
Go;Java;Python;SQL;TypeScript,,Docker;Kubernetes;Maven (build tool);Pip,,Engineering Manager,6
C#;HTML/CSS;Java;JavaScript;VBA,,Godot;NuGet;Visual Studio Solution,GTK;Qt,Desktop Or Enterprise Applications Developer,1
HTML/CSS;JavaScript;Lua;TypeScript,Django;Express;Next.js;Node.js;React,Docker;npm;Pacman;Pip;Terraform;Yarn,,Blockchain,3
HTML/CSS;JavaScript;Ruby;TypeScript,Next.js;Node.js;React;Ruby on Rails,npm;pnpm;Webpack;Yarn,,Full-Stack Developer,3
Bash/Shell (all shells);Groovy;PowerShell;SQL,,Ansible;Docker;Kubernetes;Make;Pip;Podman;Terraform;Visual Studio Solution;Yarn,,Devops Specialist,6
C#;HTML/CSS;Java;JavaScript;MicroPython;Python;TypeScript,React,Gradle;Maven (build tool),,Engineering Manager,6
